what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1480177735922
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1480177735924
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1480177735945
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1480177735949
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1480177735965
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1480177735967
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1480177735968
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1480177735994
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1480177736004
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1480177736019
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1480177736019
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1480177736019
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1480177736023
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1480177736024
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1480177736024
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1480177736025
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1480177736026
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1480177736044
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1480177736045
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1480177736046
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1480177736046
os,sysinfo,,,"linux",1480177736051
arch,sysinfo,,,"x86_64",1480177736051
ws,sysinfo,,,"gtk",1480177736051
locale,sysinfo,,,"en_US",1480177736051
processors,sysinfo,,,"4",1480177736051
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1480177736051
java.runtime.version,sysinfo,,,"1.7.0_85-b01",1480177736051
java.specification.name,sysinfo,,,"Java Platform API Specification",1480177736051
java.specification.vendor,sysinfo,,,"Oracle Corporation",1480177736051
java.specification.version,sysinfo,,,"1.7",1480177736051
java.vendor,sysinfo,,,"Oracle Corporation",1480177736051
java.version,sysinfo,,,"1.7.0_85",1480177736051
java.vm.info,sysinfo,,,"mixed mode",1480177736051
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1480177736051
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1480177736051
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1480177736051
java.vm.specification.version,sysinfo,,,"1.7",1480177736051
java.vm.vendor,sysinfo,,,"Oracle Corporation",1480177736051
java.vm.version,sysinfo,,,"24.85-b03",1480177736051
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1480177743657
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1480177743691
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1480177743709
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1480177784028
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1480177784298
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480177784844
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1480178084975
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1480178085128
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480178087268
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1480178087464
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480178598464
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1480178751795
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480178751816
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480178755247
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480178762629
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480178775227
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480178834021
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480178849864
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1480178870647
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1480178870983
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1480178871072
